theta,avg,median,best,global_best,better_count,first_better_generation,best_in_many_times,best_x_in_many_times,best_y_in_many_times,best_chrom_in_many_times
0.0314137931034,-14.419254206485002,-0.05520011116499999,-0.044408784369999996,-0.044408784369999996,4.75,29.666666666666664,-0.005374024099999975,0.927,0.86,[1 0 1 1 1 0 0 1 1 1 1 1 1 0 1 1 0 1 0 1 1 1 0 0]
0.0331034482759,-14.047233751115332,-0.09324107885500002,-0.09324107885500002,-0.09324107885500002,3.25,23.6,-0.0017273760999999936,0.959,0.919,[1 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 0 1 0 1 1 1]
0.0347931034483,-14.059459182245334,-0.07327521525000001,-0.07326233965500002,-0.07326233965500002,4.6,14.857142857142858,-1.6025600000000083e-05,1.004,1.008,[1 0 1 1 1 1 1 0 1 1 0 0 1 0 1 1 1 1 1 1 0 0 0 0]
0.0364827586207,-1.4006118480760004,-0.09394797486,-0.09394797486,-0.09394797486,4.05,19.333333333333332,-4.001600000000011e-06,0.998,0.996,[1 0 1 1 1 1 1 0 0 1 1 0 1 0 1 1 1 1 1 0 0 1 0 0]
0.0381724137931,-0.33414512146333325,-0.07695701125,-0.07695701125,-0.07695701125,5.15,12.428571428571429,-9.008100000000082e-06,0.997,0.994,[1 0 1 1 1 1 1 0 0 1 0 1 1 0 1 1 1 1 1 0 0 0 1 0]
0.0398620689655,-1.1218582792429999,-0.044834833510000005,-0.044834833510000005,-0.044834833510000005,8.05,15.545454545454545,-8.165609999999451e-05,1.009,1.018,[1 0 1 1 1 1 1 1 0 0 0 1 1 0 1 1 1 1 1 1 1 0 1 0]
0.0415517241379,-4.213116432908663,-0.060222791804999995,-0.060222791804999995,-0.060222791804999995,8.65,11.333333333333334,-3.612959999999952e-05,1.006,1.012,[1 0 1 1 1 1 1 0 1 1 1 0 1 0 1 1 1 1 1 1 0 1 0 0]
0.0432413793103,-7.383830127175666,-0.05053557308000001,-0.05053557308000001,-0.05053557308000001,5.0,12.285714285714286,-8.165610000000011e-05,0.991,0.982,[1 0 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 0]
0.0449310344828,-0.054950993681666685,-0.05460052701500001,-0.05460052701500001,-0.05460052701500001,9.0,18.833333333333332,-2.5062500000000308e-05,0.995,0.99,[1 0 1 1 1 1 1 0 0 0 1 1 1 0 1 1 1 1 0 1 1 1 1 0]
0.0466206896552,-0.7122755474313333,-0.07755879165,-0.07755879165,-0.07755879165,4.45,14.833333333333334,-0.017457177600000012,1.132,1.282,[1 1 0 0 0 1 1 0 1 1 0 0 1 1 0 1 0 0 0 0 0 0 1 0]
0.0483103448276,-0.5430454754036664,-0.08526326270000001,-0.08526326270000001,-0.08526326270000001,4.3,18.0,-1.0001000000000076e-06,0.999,0.998,[1 0 1 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 0 0 1 1 0]
0.05,-3.0313885932390017,-0.050955383660000006,-0.050955383660000006,-0.050955383660000006,5.15,18.0,-1.0001000000000076e-06,0.999,0.998,[1 0 1 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 0 0 1 1 0]
